DOW;AUT;ACH;SOI;IDN5;NM5;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801470;Banská Štiavnica;516643;Banská Štiavnica;602;Banská Štiavnica;6;Banskobystrický;32893687;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banská Štiavnica;SK0322516643
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801640;Banské;544078;Banské;713;Vranov nad Top¾ou;7;Prešovský;29861439;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Top¾ou;SK041D;Banské;SK041D544078
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801658;Banský Studenec;516651;Banský Studenec;602;Banská Štiavnica;6;Banskobystrický;19195693;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322;Banský Studenec;SK0322516651
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801674;Malá Bara;528129;Bara;811;Trebišov;8;Košický;3398436;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Bara;SK042B528129
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801682;Ve¾ká Bara;528129;Bara;811;Trebišov;8;Košický;2853753;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Bara;SK042B528129
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801691;Barca;514501;Barca;609;Rimavská Sobota;6;Banskobystrický;11502513;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Barca;SK0329514501
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;801712;Bardejov;519006;Bardejov;701;Bardejov;7;Prešovský;56232633;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bardejov;SK0411519006
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802077;Bardejovská Nová Ves;519006;Bardejov;701;Bardejov;7;Prešovský;7078723;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bardejov;SK0411519006
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802093;Bardoòovo;503053;Bardoòovo;404;Nové Zámky;4;Nitriansky;23810439;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Bardoòovo;SK0234503053
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802107;Bartošova Lehôtka;516660;Bartošova Lehôtka;613;Žiar nad Hronom;6;Banskobystrický;8635884;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žiar nad Hronom;SK032D;Bartošova Lehôtka;SK032D516660
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802115;Bartošovce;519049;Bartošovce;701;Bardejov;7;Prešovský;11231941;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Bartošovce;SK0411519049
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802123;Baška;521159;Baška;806;Košice - okolie;8;Košický;4502714;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Baška;SK0426521159
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802140;Baškovce;520021;Baškovce;702;Humenné;7;Prešovský;6629585;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Baškovce;SK0412520021
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;802158;Baškovce;522309;Baškovce;809;Sobrance;8;Košický;6214218;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Sobrance;SK0429;Baškovce;SK0429522309
