DOW;AUT;ACH;SOI;FACC;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527017;Stráòany;710;Stará ¼ubovòa;7;Prešovský;11606574.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Stráòany;SK041A527017
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527025;Sulín;710;Stará ¼ubovòa;7;Prešovský;20098141.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Sulín;SK041A527025
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527033;Šambron;710;Stará ¼ubovòa;7;Prešovský;17162542.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Šambron;SK041A527033
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527041;Šarišské Jastrabie;710;Stará ¼ubovòa;7;Prešovský;21388790.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Šarišské Jastrabie;SK041A527041
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527050;Údol;710;Stará ¼ubovòa;7;Prešovský;13074773.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Údol;SK041A527050
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527068;Ve¾ká Lesná;710;Stará ¼ubovòa;7;Prešovský;24254146.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Ve¾ká Lesná;SK041A527068
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527076;Ve¾ký Lipník;710;Stará ¼ubovòa;7;Prešovský;27513213.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Ve¾ký Lipník;SK041A527076
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527084;Vislanka;710;Stará ¼ubovòa;7;Prešovský;4233138.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Vislanka;SK041A527084
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527092;Vyšné Ružbachy;710;Stará ¼ubovòa;7;Prešovský;17956630.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Vyšné Ružbachy;SK041A527092
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527106;Svidník;712;Svidník;7;Prešovský;20201260.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Svidník;SK041C527106
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527114;Baòa;711;Stropkov;7;Prešovský;1912484.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Baòa;SK041B527114
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527122;Belejovce;712;Svidník;7;Prešovský;3083796.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Belejovce;SK041C527122
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527131;Beòadikovce;712;Svidník;7;Prešovský;12564448.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Beòadikovce;SK041C527131
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527149;Bodružal;712;Svidník;7;Prešovský;7237803.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Bodružal;SK041C527149
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527157;Breznica;711;Stropkov;7;Prešovský;9916950.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Breznica;SK041B527157
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527165;Breznièka;711;Stropkov;7;Prešovský;5837559.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Breznièka;SK041B527165
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527173;Brusnica;711;Stropkov;7;Prešovský;14282507.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Brusnica;SK041B527173
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527181;Bukovce;711;Stropkov;7;Prešovský;11062788.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Bukovce;SK041B527181
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527190;Bystrá;711;Stropkov;7;Prešovský;3011708.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Bystrá;SK041B527190
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527203;Bžany;711;Stropkov;7;Prešovský;17063581.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Bžany;SK041B527203
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527211;Cernina;712;Svidník;7;Prešovský;13102406.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Cernina;SK041C527211
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527220;Cigla;712;Svidník;7;Prešovský;4873724.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Cigla;SK041C527220
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527238;Dlhoòa;712;Svidník;7;Prešovský;8846896.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Dlhoòa;SK041C527238
